
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
112864        0x1B8E0         Cisco IOS microcode, for "S"
112911        0x1B90F         Cisco IOS microcode, for "M"
192512        0x2F000         Microsoft executable, portable (PE)
238352        0x3A310         PNG image, 50 x 162, 8-bit/color RGBA, non-interlaced
238414        0x3A34E         Zlib compressed data, best compression
240320        0x3AAC0         PNG image, 24 x 132, 8-bit/color RGBA, non-interlaced
242344        0x3B2A8         PNG image, 30 x 16, 8-bit/color RGBA, non-interlaced
243688        0x3B7E8         PNG image, 22 x 132, 8-bit/color RGBA, non-interlaced
656418        0xA0422         Copyright string: "Copyright 1985-1998,Phoenix Technologies Ltd.All rights reserved."
819330        0xC8082         Copyright string: "Copyright (C) 2003-2014  VMware, Inc."
819369        0xC80A9         Copyright string: "Copyright (C) 1997-2000  Intel Corporation"
975788        0xEE3AC         ISO 9660 Boot Record, Boot System Identifier: "EL TORITO SPECIFICATION",
985388        0xF092C         Copyright string: "Copyright 1985-2001 Phoenix Technologies Ltd."
996673        0xF3541         Copyright string: "Copyright 2000-2015 VMware, Inc."
1000211       0xF4313         Copyright string: "Copyright 1985-2001 Phoenix Technologies Ltd."
1568768       0x17F000        Microsoft executable, portable (PE)
2025013       0x1EE635        Zlib compressed data, best compression
2025080       0x1EE678        PNG image, 64 x 26, 8-bit/color RGBA, non-interlaced
2124160       0x206980        PNG image, 57 x 120, 8-bit/color RGBA, non-interlaced
2245249       0x224281        Certificate in DER format (x509 v3), header length: 4, sequence length: 1219
2246472       0x224748        Certificate in DER format (x509 v3), header length: 4, sequence length: 1260
2247736       0x224C38        Certificate in DER format (x509 v3), header length: 4, sequence length: 1468
2270552       0x22A558        PNG image, 11 x 110, 8-bit/color RGBA, non-interlaced
2272104       0x22AB68        PNG image, 43 x 234, 8-bit/color RGBA, non-interlaced
2646896       0x286370        PNG image, 80 x 19, 8-bit/color RGBA, non-interlaced
2648160       0x286860        PNG image, 80 x 92, 8-bit/color RGBA, non-interlaced
2648222       0x28689E        Zlib compressed data, best compression
2648616       0x286A28        PNG image, 52 x 268, 8-bit/color RGBA, non-interlaced
2671745       0x28C481        Certificate in DER format (x509 v3), header length: 4, sequence length: 1219
2672968       0x28C948        Certificate in DER format (x509 v3), header length: 4, sequence length: 1260
2674232       0x28CE38        Certificate in DER format (x509 v3), header length: 4, sequence length: 1468
3398360       0x33DAD8        Microsoft WinCE installer, 40248 files, 39885 registry entries
3596512       0x36E0E0        Certificate in DER format (x509 v3), header length: 4, sequence length: 899
3597824       0x36E600        Certificate in DER format (x509 v3), header length: 4, sequence length: 433
3651333       0x37B705        Zlib compressed data, best compression
3652856       0x37BCF8        PNG image, 42 x 330, 8-bit/color RGBA, non-interlaced
3682688       0x383180        XML document, version: "1.0"
3682750       0x3831BE        Copyright string: "Copyright (c) Microsoft Corporation -->"
3809292       0x3A200C        Microsoft executable, portable (PE)
4002032       0x3D10F0        PNG image, 70 x 23, 8-bit/color RGBA, non-interlaced
4002138       0x3D115A        Zlib compressed data, best compression
4002472       0x3D12A8        PNG image, 70 x 23, 8-bit/color RGBA, non-interlaced
4002578       0x3D1312        Zlib compressed data, best compression
4002760       0x3D13C8        PNG image, 70 x 31, 8-bit/color RGBA, non-interlaced
4002866       0x3D1432        Zlib compressed data, best compression
4003424       0x3D1660        PNG image, 70 x 23, 8-bit/color RGBA, non-interlaced
4003530       0x3D16CA        Zlib compressed data, best compression
4003960       0x3D1878        PNG image, 70 x 23, 8-bit/color RGBA, non-interlaced
4004066       0x3D18E2        Zlib compressed data, best compression
4004520       0x3D1AA8        PNG image, 11 x 11, 8-bit/color RGBA, non-interlaced
4004672       0x3D1B40        PNG image, 2 x 20, 8-bit/color RGB, non-interlaced
4004856       0x3D1BF8        PNG image, 17 x 32, 8-bit/color RGBA, non-interlaced
4006464       0x3D2240        PNG image, 3 x 26, 8-bit/color RGBA, non-interlaced
4006680       0x3D2318        PNG image, 13 x 72, 8-bit/color RGBA, non-interlaced
4006765       0x3D236D        Zlib compressed data, best compression
4289389       0x41736D        Zlib compressed data, best compression
4289864       0x417548        PNG image, 3 x 92, 8-bit/color RGBA, non-interlaced
4289949       0x41759D        Zlib compressed data, best compression
4551864       0x4574B8        PNG image, 57 x 120, 8-bit/color RGBA, non-interlaced
4583424       0x45F000        Microsoft executable, portable (PE)
4636832       0x46C0A0        Boot section Start 0x182442 End 0x0
4640458       0x46CECA        Copyright string: "Copyright Microsoft Corp. 1993. All rights reserved."
4680456       0x476B08        CRC32 polynomial table, little endian
4699528       0x47B588        PNG image, 8 x 88, 8-bit/color RGBA, non-interlaced
4700424       0x47B908        PNG image, 24 x 132, 8-bit/color RGBA, non-interlaced
5107712       0x4DF000        Microsoft executable, portable (PE)
5251072       0x502000        Microsoft executable, portable (PE)
5364024       0x51D938        PNG image, 57 x 120, 8-bit/color RGBA, non-interlaced
6164480       0x5E1000        Microsoft executable, portable (PE)
6244488       0x5F4888        PNG image, 72 x 22, 8-bit/color RGBA, non-interlaced
6370744       0x6135B8        PNG image, 52 x 336, 8-bit/color RGBA, non-interlaced
6493413       0x6314E5        Zlib compressed data, best compression
6495888       0x631E90        PNG image, 42 x 348, 8-bit/color RGBA, non-interlaced
6557696       0x641000        Microsoft executable, portable (PE)
6750940       0x6702DC        Certificate in DER format (x509 v3), header length: 4, sequence length: 1649
6752593       0x670951        Certificate in DER format (x509 v3), header length: 4, sequence length: 1242
7164593       0x6D52B1        Minix filesystem, V1, little endian, 30 char names, 15 zones
7199912       0x6DDCA8        CRC32 polynomial table, little endian
7283784       0x6F2448        YAFFS filesystem, little endian
7385296       0x70B0D0        PNG image, 5 x 8, 8-bit/color RGBA, non-interlaced
7385416       0x70B148        PNG image, 86 x 240, 8-bit/color RGBA, non-interlaced
7905462       0x78A0B6        Copyright string: "Copyright (c) 1985 Xiphias, Los Angeles, Ca."
7908633       0x78AD19        MySQL ISAM compressed data file Version 6
7929885       0x79001D        mcrypt 2.2 encrypted data, algorithm: blowfish-448, mode: nOFB, keymode: 8bit
8446512       0x80E230        Certificate in DER format (x509 v3), header length: 4, sequence length: 22271
8589957       0x831285        Zlib compressed data, best compression
8591936       0x831A40        PNG image, 22 x 88, 8-bit/color RGBA, non-interlaced
8869744       0x875770        Microsoft executable, portable (PE)
8889984       0x87A680        PNG image, 22 x 66, 8-bit/color RGBA, non-interlaced
8891256       0x87AB78        PNG image, 14 x 276, 8-bit/color RGBA, non-interlaced
9390307       0x8F48E3        mcrypt 2.5 encrypted data, algorithm: "sProcessorFeaturePresent", keysize: 1069 bytes, mode: "Q",
9412608       0x8FA000        Microsoft executable, portable (PE)
9457728       0x905040        PNG image, 43 x 330, 8-bit/color RGBA, non-interlaced
9502720       0x910000        Microsoft executable, portable (PE)
9867264       0x969000        Microsoft executable, portable (PE)
10731520      0xA3C000        XML document, version: "1.0"
10731686      0xA3C0A6        Copyright string: "copyright="Copyright (c) Microsoft Corporation. All Rights Reserved.">"
10731697      0xA3C0B1        Copyright string: "Copyright (c) Microsoft Corporation. All Rights Reserved.">"
10984080      0xA79A90        PNG image, 80 x 19, 8-bit/color RGBA, non-interlaced
10984912      0xA79DD0        PNG image, 80 x 92, 8-bit/color RGBA, non-interlaced
11019166      0xA8239E        Certificate in DER format (x509 v3), header length: 4, sequence length: 1206
11020376      0xA82858        Certificate in DER format (x509 v3), header length: 4, sequence length: 1243
11113120      0xA992A0        Certificate in DER format (x509 v3), header length: 4, sequence length: 433
11444224      0xAEA000        Microsoft executable, portable (PE)
11686336      0xB251C0        Certificate in DER format (x509 v3), header length: 4, sequence length: 550
11688384      0xB259C0        Certificate in DER format (x509 v3), header length: 4, sequence length: 546
11710464      0xB2B000        Microsoft executable, portable (PE)
12156522      0xB97E6A        eCos RTOS string reference: "eCostCostFinalizeInstallValidateInstallInitializeInstallAdminPackageInstallFilesInstallFinalizeExecuteActionCreateShortcutsRegis"
12378112      0xBCE000        Microsoft executable, portable (PE)
12513280      0xBEF000        Microsoft executable, portable (PE)
12570974      0xBFD15E        Copyright string: "Copyright Bitstream Inc. 1984. All rights reserved."
12571098      0xBFD1DA        Copyright string: "Copyright Bitstream Inc. 1984. All rights reserved."
12674432      0xC16580        PNG image, 22 x 66, 8-bit/color RGBA, non-interlaced
12675520      0xC169C0        PNG image, 7 x 7, 8-bit/color RGBA, non-interlaced
12675712      0xC16A80        PNG image, 7 x 7, 8-bit/color RGB, non-interlaced
12675880      0xC16B28        PNG image, 15 x 15, 8-bit/color RGB, non-interlaced
12676048      0xC16BD0        PNG image, 14 x 276, 8-bit/color RGBA, non-interlaced
12862328      0xC44378        PNG image, 1 x 23, 8-bit/color RGBA, non-interlaced
12862480      0xC44410        PNG image, 100 x 136, 8-bit/color RGBA, non-interlaced
12862542      0xC4444E        Zlib compressed data, best compression
12863368      0xC44788        PNG image, 100 x 34, 8-bit/color RGBA, non-interlaced
12863848      0xC44968        PNG image, 22 x 110, 8-bit/color RGBA, non-interlaced
12864952      0xC44DB8        PNG image, 22 x 110, 8-bit/color RGBA, non-interlaced
12884789      0xC49B35        Certificate in DER format (x509 v3), header length: 4, sequence length: 1552
13068600      0xC76938        Boot section Start 0x-67676768 End 0x4E000000
13068604      0xC7693C        Boot section Start 0x4E000000 End 0x0
13566192      0xCF00F0        XML document, version: "1.0"
13566254      0xCF012E        Copyright string: "Copyright (c) Microsoft Corporation -->"
13572736      0xCF1A80        Microsoft executable, portable (PE)
13717152      0xD14EA0        SHA256 hash constants, little endian
13992431      0xD581EF        mcrypt 2.2 encrypted data, algorithm: blowfish-448, mode: CBC, keymode: 8bit
14104029      0xD735DD        Zlib compressed data, best compression
14104728      0xD73898        PNG image, 80 x 19, 8-bit/color RGBA, non-interlaced
14877900      0xE304CC        Certificate in DER format (x509 v3), header length: 4, sequence length: 1242
15077376      0xE61000        Microsoft executable, portable (PE)
15155136      0xE73FC0        Base64 standard index table
15368192      0xEA8000        Microsoft executable, portable (PE)
15517872      0xECC8B0        PNG image, 22 x 66, 8-bit/color RGBA, non-interlaced
15519008      0xECCD20        PNG image, 7 x 7, 8-bit/color RGBA, non-interlaced
15519200      0xECCDE0        PNG image, 7 x 7, 8-bit/color RGB, non-interlaced
15519368      0xECCE88        PNG image, 15 x 15, 8-bit/color RGB, non-interlaced
15519536      0xECCF30        PNG image, 14 x 276, 8-bit/color RGBA, non-interlaced
15848785      0xF1D551        Certificate in DER format (x509 v3), header length: 4, sequence length: 1242
16235056      0xF7BA30        PNG image, 23 x 154, 8-bit/color RGBA, non-interlaced
16470304      0xFB5120        Microsoft executable, portable (PE)
16473384      0xFB5D28        Microsoft executable, portable (PE)
16519312      0xFC1090        PNG image, 80 x 19, 8-bit/color RGBA, non-interlaced
16519397      0xFC10E5        Zlib compressed data, best compression
16522069      0xFC1B55        Zlib compressed data, best compression
16522544      0xFC1D30        PNG image, 3 x 92, 8-bit/color RGBA, non-interlaced
16812570      0x1008A1A       Copyright string: "Copyright Microsoft Corp. 1998. All rights reserved."
17101355      0x104F22B       Copyright string: "Copyright (c) 1995-2001 Microsoft Corp."
17158430      0x105D11E       Certificate in DER format (x509 v3), header length: 4, sequence length: 982
17805392      0x10FB050       Base64 standard index table
17936384      0x111B000       Microsoft executable, portable (PE)
17972204      0x1123BEC       Certificate in DER format (x509 v3), header length: 4, sequence length: 1039
18710528      0x11D8000       Microsoft executable, portable (PE)
18715592      0x11D93C8       PNG image, 100 x 34, 8-bit/color RGBA, non-interlaced
18716128      0x11D95E0       PNG image, 100 x 136, 8-bit/color RGBA, non-interlaced
18716190      0x11D961E       Zlib compressed data, best compression
18716872      0x11D98C8       PNG image, 3 x 26, 8-bit/color RGBA, non-interlaced
18717088      0x11D99A0       PNG image, 52 x 252, 8-bit/color RGBA, non-interlaced
18774637      0x11E7A6D       Zlib compressed data, best compression
18774720      0x11E7AC0       PNG image, 50 x 178, 8-bit/color RGBA, non-interlaced
